amenity_id,category,subtype,name,latitude,longitude,district
N5552603927,community,playground,(unnamed playground),24.468406,54.345123,Al Khalidiyah
N13476459401,community,playground,(unnamed playground),24.484567,54.35237,Al Khalidiyah
W204768394,community,playground,(unnamed playground),24.465208,54.351071,Al Khalidiyah
W263352289,community,playground,(unnamed playground),24.466316,54.350013,Al Khalidiyah
W428424424,community,playground,(unnamed playground),24.470419,54.347168,Al Khalidiyah
W480458947,community,playground,(unnamed playground),24.461673,54.364561,Al Khalidiyah
W1055718609,community,playground,(unnamed playground),24.466229,54.365202,Al Khalidiyah
W141176782,community,place_of_worship,Abdullah Salem Mosque,24.454526,54.3609,Al Khalidiyah
N7236680355,community,playground,Abdullah Salem Playground,24.454705,54.360299,Al Khalidiyah
W173009868,community,place_of_worship,Ali Abdullah Jasim Al Zaabi Mosque,24.478956,54.352765,Al Khalidiyah
W1470832492,community,place_of_worship,Enaya Bint Saleh Al Muhairi Mosque,24.476297,54.347947,Al Khalidiyah
W480691101,community,place_of_worship,Faraj Muhammad Al-Muhairbi Mosque,24.480041,54.353148,Al Khalidiyah
W26500123,community,park,Khalidiya Garden,24.468826,54.345438,Al Khalidiyah
W474869150,community,place_of_worship,Martyr Al-Shaibah Hadir Khamis Al-Amaimi Mosque,24.476691,54.349324,Al Khalidiyah
W144308190,community,place_of_worship,Muhammad Bin Masoud Al Muhairbi Mosque,24.480412,54.354517,Al Khalidiyah
W226712508,community,park,Public Garden,24.466277,54.343884,Al Khalidiyah
W62281265,community,place_of_worship,Sheikh Khalifa Mosque,24.484568,54.352895,Al Khalidiyah
W89664831,community,place_of_worship,Sultan Mosque,24.451689,54.34851,Al Khalidiyah
W437418070,community,place_of_worship,مسجد مبارك و مطر أبناء حاظر,24.455646,54.34634,Al Khalidiyah
W62269377,community,park,(unnamed park),24.408219,54.463322,Al Maqta
W62270112,community,park,(unnamed park),24.391499,54.525208,Al Maqta
W62270119,community,park,(unnamed park),24.391372,54.545293,Al Maqta
W62272742,community,park,(unnamed park),24.394132,54.52147,Al Maqta
W62272748,community,park,(unnamed park),24.392374,54.521183,Al Maqta
W62272771,community,park,(unnamed park),24.391001,54.523063,Al Maqta
W62272784,community,park,(unnamed park),24.393326,54.525792,Al Maqta
W62272791,community,park,(unnamed park),24.393837,54.523027,Al Maqta
W70203124,community,park,(unnamed park),24.40437,54.478694,Al Maqta
W78970540,community,park,(unnamed park),24.392467,54.525465,Al Maqta
W78970542,community,park,(unnamed park),24.393158,54.522997,Al Maqta
W88817168,community,park,(unnamed park),24.390588,54.52821,Al Maqta
W88817170,community,park,(unnamed park),24.389718,54.53812,Al Maqta
W90963632,community,park,(unnamed park),24.389861,54.49583,Al Maqta
W107270637,community,park,(unnamed park),24.389314,54.540868,Al Maqta
W172756971,community,park,(unnamed park),24.402343,54.532207,Al Maqta
W174790455,community,park,(unnamed park),24.403517,54.476798,Al Maqta
W174790461,community,park,(unnamed park),24.405144,54.475694,Al Maqta
W174790467,community,park,(unnamed park),24.40514,54.475183,Al Maqta
W177853087,community,park,(unnamed park),24.422599,54.527229,Al Maqta
W223791523,community,park,(unnamed park),24.423549,54.492719,Al Maqta
W223791525,community,park,(unnamed park),24.423608,54.491863,Al Maqta
W223791528,community,park,(unnamed park),24.424344,54.492466,Al Maqta
W223791529,community,park,(unnamed park),24.423509,54.493958,Al Maqta
W392484821,community,park,(unnamed park),24.42527,54.469678,Al Maqta
W392489174,community,park,(unnamed park),24.423884,54.469548,Al Maqta
W392587983,community,park,(unnamed park),24.427466,54.468866,Al Maqta
W392591532,community,park,(unnamed park),24.42759,54.467441,Al Maqta
W392591954,community,park,(unnamed park),24.426908,54.467001,Al Maqta
W685519707,community,park,(unnamed park),24.410094,54.5193,Al Maqta
W1287035160,community,park,(unnamed park),24.405315,54.473887,Al Maqta
W1287035161,community,park,(unnamed park),24.405992,54.473695,Al Maqta
W1287042707,community,park,(unnamed park),24.404182,54.476865,Al Maqta
